brand,products,website,instagram,twitter,youtube,email,telephone,address,company,person,personrole,location,country
4ocean,Conservation Removing-Trash,https://4ocean.com,4ocean,4ocean,channel/UCCT_-OGW5IiUuuHwmuyUPYQ,,,,,,,,WorldWide
ASEAN biodiversity,Conservation Information,https://aseanbiodiversity.org,,,user/TheASEANbiodiversity,contact.us@aseanbiodiversity.org,63 495362865,3/F ERDB Bldg  UPLB Forestry Campus - Los Banos 4031,ASEAN biodiversity Nonprofit,,,,Philippines
Avani Eco Hub,Biodegradable-plastic,https://www.avanieco.com,,,,,62 361 9065555,Jl  Cargo Permai no 188 - Dusun Liligundi - Ubung - Denpasar - Bali,,,,https://goo.gl/maps/kyEgYs4aShz,Indonesia
Awani,Fruit-Jam Conserves,https://awani.com,,,,enquiries.uk@awani.com,44 746 265 8077,Unit 23 - 222 Kensal Road - London W10 5BN, ,,,,United Kingdom
Bali Buda,Organic Products,http://www.balibuda.com,,,,,62 361 299467,Jl Pura Puseh no 3 - Br  Denjalan - Batu Bulan - Bali, ,,,,Indonesia
Bali ebikes,Electric Bicycle Tours,http://www.bali-ebikes.com,,,,info@bali-ebikes.com,62 813 53622250 ,Jl  Suweta no 30 - Ubud - Bali, ,,,https://goo.gl/maps/qQQ5HbwvNSH2,Indonesia
Bali eco stay,Accomodation,https://www.baliecostay.com,,,,info@baliecostay.com,62 857 38467596,Kanciana Village - Kemetug - Gunung Salak - Selemadeg - Bali 82113, ,,,https://goo.gl/maps/GRiDJ7d1qrE2,Indonesia
Bali Jiwa,Organic Products,https://www.balijiwa.net,,,,hello@balijiwa.com,62 361 270081,, ,,,,Indonesia
Bali Organic Association,Organic Products,,,,,yayasan_boa@yahoo.com,62 878 60131485,"Jl Cargo Sari II no 6 - Br Uma Sari - Ubung Kaja,Denpasar - Bali", ,,,,Indonesia
Bamboo straws,Bamboo Straws,https://bamboo-straws.com,,,,strawsbamboo@gmail.com,,,,,,,Indonesia
Bambu ,Sustainable Kitchen Ware,https://www.bambuhome.com,,,,customercare@bambuhome.com,1 8556303149,,,,,,U.S.A.
Bambu Indah,Bamboo Hospitality,http://bambuindah.com,,,,reservations@bambuindah.com,62 361 977922,Banjar Baung - Desa Sayan - Ubud - Gianyar - Bali 80571,,,,https://goo.gl/maps/ETNaxoVP7Pv,Indonesia
Bead the Change,Environmental awareness,https://beadthechange.eco/,beadthechange.eco,Bead_The_Change,,,,5910 Sea Lion Pl - Carlsbad - CA 92010,Bead the Change,,,https://goo.gl/maps/EZ4TH1Vsghc42MPeA,U.S.A.
Big Tree Farms,Organic Products,http://www.bigtreefarms.com/,bigtreefarmsbali,,,info@bigtreefarms.com,62 361 8463327,Br  Piakan - Desa Sibangkaja - Kecamatan Abiansemal - Bali 80237, ,,,,Indonesia
